# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
#
# Results of Query: Database UKIDSSDR8PLUS 12/01/15 19:26
# SELECT  sourceID, framesetID, RA, Dec, mergedClass, priOrSec, 
# JAperMag3, JAperMag3Err, HAperMag3, HAperMag3Err, K_1AperMag3, 
# K_1AperMag3Err, K_2AperMag3, K_2AperMag3Err, H2AperMag3, 
# H2AperMag3Err, pstar, epoch,
# 2*DEGREES(ASIN(sqrt(power(0.22206278975386445-cx,
# 2)+power(-0.9743835349298852-cy,2)+power(-0.035564649081248456-cz,
# 2))/2))*60 as distance  FROM gpsSource WHERE dec > -2.054800766666667 
# and dec < -2.0214674333333336 and RA >= 282.8218026096076 and RA <= 
# 282.85515739039243 and ((cx * 0.22206278975386445 + cy * 
# -0.9743835349298852 + cz * -0.035564649081248456 ) >= 
# 0.9999999576920253)  and (pStar > 0.99) and (priOrSec=0 OR 
# priOrSec=frameSetID) and HAperMag3 >0 and JAperMag3 > 0 and 
# K_1AperMag3 > 0
# Column Headers at start of file AND below
#
# sourceID,framesetID,RA,Dec,mergedClass,priOrSec,JAperMag3,JAperMag3Err,HAperMag3,HAperMag3Err,K_1AperMag3,K_1AperMag3Err,K_2AperMag3,K_2AperMag3Err,H2AperMag3,H2AperMag3Err,pstar,epoch,distance
        438267692337,        438086674173,    +282.8374494,      -2.0530475,    -1,                   0,    +18.417330,     +0.058557,    +17.314392,     +0.046210,    +16.804886,     +0.074342, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8969364
        438267692556,        438086674173,    +282.8367523,      -2.0433030,    -1,                   0,    +15.166236,     +0.004521,    +13.445272,     +0.001902,    +12.599622,     +0.002012, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.3269753
        438267689365,        438086674173,    +282.8493914,      -2.0478978,    -1,                   0,    +19.624317,     +0.172630,    +17.593027,     +0.058920,    +16.738396,     +0.069728, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8782100
        438267694877,        438086674173,    +282.8263317,      -2.0385042,    -1,                   0,    +14.686994,     +0.003358,    +13.170291,     +0.001585,    +12.438141,     +0.001788, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7287764
        438267694776,        438086674173,    +282.8263652,      -2.0396055,    -1,                   0,    +18.101500,     +0.043993,    +16.444560,     +0.020969,    +15.619861,     +0.025158, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.992684,   +2005.4566113,      +0.7317750
        438267694701,        438086674173,    +282.8266410,      -2.0301319,    -1,                   0,    +18.974146,     +0.095546,    +17.305864,     +0.045384,    +16.497868,     +0.055726, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8570150
        438267694652,        438086674173,    +282.8269597,      -2.0464814,    -1,                   0,    +18.420822,     +0.058343,    +17.408182,     +0.049907,    +17.131924,     +0.099702, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8532356
        438267694647,        438086674173,    +282.8269460,      -2.0449412,    -1,                   0,    +19.225216,     +0.119994,    +18.006792,     +0.086033,    +17.383371,     +0.125514, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8031953
        438267691491,        438086674173,    +282.8401768,      -2.0524563,    -1,                   0,    +19.491192,     +0.153792,    +17.960718,     +0.083147,    +17.430464,     +0.131855, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.8653352
        438267691425,        438086674173,    +282.8405020,      -2.0485460,    -1,                   0,    +19.381952,     +0.139216,    +18.445053,     +0.129374,    +18.260940,     +0.282548, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.6363697
        438267691385,        438086674173,    +282.8429623,      -2.0477804,    -1,                   0,    +17.551952,     +0.027520,    +16.269950,     +0.018088,    +15.586256,     +0.024559, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.6381362
        438267691195,        438086674173,    +282.8413775,      -2.0497790,    -1,                   0,    +18.359390,     +0.055605,    +17.154478,     +0.039939,    +16.469223,     +0.054709, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.7199712
        438267691163,        438086674173,    +282.8415388,      -2.0396744,    -1,                   0,    +18.459885,     +0.060706,    +17.238400,     +0.042905,    +16.537039,     +0.058039, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.2053802
        438267690901,        438086674173,    +282.8428243,      -2.0297331,    -1,                   0,    +16.820953,     +0.014927,    +16.140753,     +0.015992,    +15.842718,     +0.030778, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.5673900
        438267690795,        438086674173,    +282.8433533,      -2.0436784,    -1,                   0,    +19.208610,     +0.118943,    +18.294172,     +0.112430,    +17.592560,     +0.152704, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.998679,   +2005.4566113,      +0.4427743
        438267690438,        438086674173,    +282.8447066,      -2.0427059,    -1,                   0,    +19.156792,     +0.113069,    +17.803005,     +0.071399,    +17.170021,     +0.103471, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,     +0.999657,   +2005.4566113,      +0.4632964
